Column1,Column2,Column3
0.0,93.0601181701299,50.0601181701299
0.925731480121613,92.875166200704,49.875166200704
1.85146296024323,92.9790763647541,49.97907636475411
2.77719444036484,92.9020218160535,49.902021816053505
3.70292592048645,92.8968629854298,49.896862985429806
4.62865740060806,92.3900384436561,49.390038443656096
5.55438888072968,92.2072319833238,49.207231983323794
6.48012036085129,92.3525965081322,49.352596508132194
7.4058518409729,91.1341523775418,48.134152377541795
8.33158332109451,91.4359580373504,48.4359580373504
9.25731480121613,91.6464597305839,48.6464597305839
10.1830462813377,91.425501248995,48.425501248995005
11.1087777614594,91.5956356369129,48.5956356369129
12.034509241581,92.2629878728464,49.262987872846395
12.9602407217026,92.6388687751481,49.6388687751481
13.8859722018242,92.9471514168949,49.9471514168949
14.8117036819458,93.0997298412849,50.0997298412849
15.7374351620674,92.9063628810368,49.9063628810368
16.663166642189,92.2575758805547,49.2575758805547
17.5888981223106,91.6696063464182,48.669606346418206
18.5146296024323,92.0583408260168,49.0583408260168
19.4403610825539,92.1900154656473,49.190015465647306
20.3660925626755,92.0103806172348,49.0103806172348
21.2918240427971,91.9543509096706,48.954350909670595
22.2175555229187,92.122254460216,49.122254460216
23.1432870030403,92.607085203172,49.607085203172005
24.0690184831619,91.6734134628757,48.6734134628757
24.9947499632835,92.1389101057308,49.1389101057308
25.9204814434052,91.6629047584142,48.6629047584142
26.8462129235268,91.8159335811509,48.8159335811509
27.7719444036484,91.8268211114134,48.826821111413395
28.69767588377,91.8787498425769,48.878749842576894
29.6234073638916,92.0442981386464,49.0442981386464
30.5491388440132,91.9364480863981,48.9364480863981
31.4748703241348,92.148231738808,49.14823173880799
32.4006018042564,92.1425454434222,49.14254544342219
33.3263332843781,92.241747160884,49.241747160884
34.2520647644997,92.434338984146,49.434338984145995
35.1777962446213,92.5206968366811,49.5206968366811
36.1035277247429,92.7128058779636,49.7128058779636
37.0292592048645,93.0974893076636,50.097489307663594
37.9549906849861,92.8584153871762,49.858415387176194
38.8807221651077,92.9544516995825,49.954451699582506
39.8064536452293,92.9600273127821,49.9600273127821
40.732185125351,92.8492383992484,49.84923839924841
41.6579166054726,92.5649252881043,49.564925288104305
42.5836480855942,92.0875229148032,49.0875229148032
43.5093795657158,91.8923698101508,48.8923698101508
44.4351110458374,91.9866280126593,48.986628012659295
45.360842525959,92.51847162986451,49.51847162986451
46.2865740060806,92.6117351146415,49.611735114641505
47.2123054862022,92.6082539857658,49.6082539857658
48.1380369663239,92.5510589051446,49.5510589051446
49.0637684464455,92.4732336554389,49.473233655438904
49.9894999265671,92.5666047033845,49.5666047033845
50.9152314066887,92.5616453922376,49.561645392237594
51.8409628868103,92.477745044834,49.477745044833995
52.7666943669319,92.2595389285864,49.259538928586394
53.6924258470535,92.2019965669565,49.201996566956495
54.6181573271751,91.7282353982279,48.728235398227895
55.5438888072968,92.2348525448359,49.2348525448359
56.4696202874184,92.4221613000399,49.4221613000399
57.39535176754,92.2465282592438,49.2465282592438
58.3210832476616,92.0412351891622,49.041235189162194
59.2468147277832,91.940206509924,48.940206509923996
60.1725462079048,91.8310990706452,48.831099070645195
61.0982776880264,91.6719900733722,48.6719900733722
62.024009168148,91.5632332479399,48.563233247939905
62.9497406482697,92.6031517860829,49.603151786082904
63.8754721283913,92.8999544406602,49.899954440660196
64.8012036085129,92.7203730076788,49.7203730076788
65.7269350886345,92.8836085042048,49.8836085042048
66.6526665687561,92.6956303240375,49.695630324037495
67.5783980488777,92.6552751593878,49.6552751593878
68.5041295289993,91.6080082720343,48.6080082720343
69.4298610091209,91.6082728833095,48.608272883309496
70.3555924892426,91.6861950546247,48.686195054624704
71.2813239693642,91.9969933470152,48.996993347015206
72.2070554494858,93.0255127758039,50.025512775803904
73.1327869296074,91.8352456610982,48.8352456610982
74.058518409729,92.0068935828244,49.006893582824404
74.9842498898506,91.9348192018191,48.934819201819096
75.9099813699722,91.8352931363975,48.835293136397496
76.8357128500938,92.0297411117211,49.029741111721094
77.7614443302155,92.6308889459768,49.63088894597681
78.6871758103371,92.9623493093717,49.9623493093717
79.6129072904587,93.2213727550154,50.221372755015395
80.5386387705803,93.0540743567387,50.054074356738695
81.4643702507019,92.5391068741895,49.5391068741895
82.3901017308235,92.5360153061701,49.5360153061701
83.3158332109451,91.3790058797224,48.3790058797224
84.2415646910667,92.0054099785185,49.0054099785185
85.1672961711884,91.3619163116992,48.361916311699204
86.09302765131,92.517393629687,49.51739362968701
87.0187591314316,91.6135839877376,48.6135839877376
87.9444906115532,91.6424347805717,48.642434780571705
88.8702220916748,91.4710630221224,48.471063022122394
89.7959535717964,91.1836463758044,48.1836463758044
90.721685051918,91.4863789577343,48.4863789577343
91.6474165320396,91.5969045425852,48.59690454258519
92.5731480121613,90.7738476805969,47.7738476805969
93.4988794922829,91.3008960324551,48.3008960324551
94.4246109724045,90.8924731556644,47.892473155664405
95.3503424525261,91.2386272110721,48.2386272110721
96.2760739326477,91.503217678297,48.503217678297005
97.2018054127693,91.8600348405068,48.8600348405068
98.1275368928909,91.7368775478383,48.736877547838304
99.0532683730125,91.7243256944748,48.7243256944748
99.9789998531342,91.8564514372052,48.856451437205195
100.904731333256,91.9409907626638,48.9409907626638
101.830462813377,91.769923450169,48.769923450169
102.756194293499,91.8508078933081,48.8508078933081
103.681925773621,91.9460891264572,48.946089126457196
104.607657253742,91.1047051090624,48.104705109062394
105.533388733864,91.4955186606352,48.4955186606352
106.459120213985,91.4959849753361,48.4959849753361
107.384851694107,91.8876466901904,48.887646690190394
108.310583174229,91.9142892942169,48.9142892942169
109.23631465435,91.8014904259844,48.8014904259844
110.162046134472,92.5161209927748,49.5161209927748
111.087777614594,92.793116714869,49.793116714869
112.013509094715,91.972692750227,48.972692750227
112.939240574837,91.7578667795113,48.7578667795113
113.864972054958,91.7863527310458,48.786352731045795
114.79070353508,91.4046846151643,48.4046846151643
115.716435015202,91.8859191708443,48.8859191708443
116.642166495323,91.6927330844144,48.6927330844144
117.567897975445,91.6077642538684,48.607764253868396
118.493629455566,91.8909509611823,48.8909509611823
119.419360935688,91.2924334080607,48.2924334080607
120.34509241581,91.3733916915078,48.373391691507805
121.270823895931,92.2150950956228,49.2150950956228
122.196555376053,92.6061735543366,49.60617355433661
123.122286856174,92.6024227093684,49.6024227093684
124.048018336296,91.6377032915,48.6377032915
124.973749816418,92.0387073529923,49.038707352992304
125.899481296539,91.2010469032671,48.2010469032671
126.825212776661,91.2826405158287,48.2826405158287
127.750944256783,91.6756304749464,48.6756304749464
128.676675736904,91.1475972137045,48.1475972137045
129.602407217026,91.8186243933205,48.818624393320505
130.528138697147,91.3700860029665,48.3700860029665
131.453870177269,92.7316898232049,49.7316898232049
132.379601657391,92.1227946521383,49.122794652138296
133.305333137512,91.9152679807477,48.9152679807477
134.231064617634,91.1911114916017,48.1911114916017
135.156796097755,91.2725286633789,48.27252866337891
136.082527577877,91.0786668474218,48.0786668474218
137.008259057999,91.2577354473571,48.257735447357106
137.93399053812,91.1319555521923,48.131955552192295
138.859722018242,91.4628405628688,48.462840562868806
139.785453498363,91.312825173613,48.31282517361301
140.711184978485,91.4234359049368,48.423435904936795
141.636916458607,91.3037875812141,48.303787581214095
142.562647938728,91.9672466184944,48.9672466184944
143.48837941885,92.7305967322843,49.7305967322843
144.414110898972,92.6728708610263,49.6728708610263
145.339842379093,92.5858477042566,49.585847704256594
146.265573859215,92.5522469108082,49.55224691080819
147.191305339336,92.4856235661731,49.4856235661731
148.117036819458,92.7134429936241,49.7134429936241
149.04276829958,92.4355128692135,49.4355128692135
149.968499779701,92.0333281723679,49.0333281723679
150.894231259823,92.0268837932954,49.0268837932954
151.819962739944,91.9692976728587,48.9692976728587
152.745694220066,92.00397921443,49.003979214430004
153.671425700188,92.3772985806872,49.377298580687196
154.597157180309,92.2341521100128,49.2341521100128
155.522888660431,92.219620549782,49.21962054978199
156.448620140553,92.3908029329075,49.390802932907505
157.374351620674,92.8610271644188,49.8610271644188
158.300083100796,92.7630804843133,49.763080484313306
159.225814580917,92.8550192119703,49.8550192119703
160.151546061039,92.5574488320058,49.557448832005804
161.077277541161,92.3222096930431,49.322209693043106
162.003009021282,92.1703362169426,49.1703362169426
162.928740501404,92.3567520270386,49.356752027038596
163.854471981525,92.1392095457837,49.1392095457837
164.780203461647,92.2073756238395,49.207375623839496
165.705934941769,92.5884444539172,49.588444453917205
166.63166642189,92.8695133311804,49.8695133311804
167.557397902012,92.2627435672492,49.2627435672492
168.483129382133,92.5422863550489,49.5422863550489
169.408860862255,92.0657994320231,49.0657994320231
170.334592342377,91.8630484502035,48.86304845020349
171.260323822498,92.0396936891188,49.039693689118806
172.18605530262,91.6699227913849,48.669922791384906
173.111786782742,91.670054859522,48.670054859522
174.037518262863,91.938967065938,48.938967065938
174.963249742985,92.1445674507093,49.1445674507093
175.888981223106,92.71297730061,49.71297730061001
176.814712703228,92.9356042249041,49.9356042249041
177.74044418335,92.8361335491904,49.83613354919039
178.666175663471,92.7297502581719,49.729750258171904
179.591907143593,92.9083192597923,49.90831925979229
180.517638623714,92.6676570891881,49.6676570891881
181.443370103836,92.3923338650531,49.392333865053104
182.369101583958,92.3754832149756,49.3754832149756
183.294833064079,92.0852326540027,49.085232654002695
184.220564544201,92.0150367861838,49.0150367861838
185.146296024323,91.541840624043,48.541840624043004
186.072027504444,91.7813332594819,48.7813332594819
186.997758984566,91.980871904437,48.980871904436995
187.923490464687,92.1553059309678,49.1553059309678
188.849221944809,92.4783291918378,49.4783291918378
189.774953424931,92.5526309165577,49.5526309165577
